smiles,hlb
CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1.3862943649291992
CCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,2.4423470497131348
CC(CO)CO,2.1860511302948
CCCCCCCCCCCC(=O)OCC(O)CO,1.9501867294311523
CCCCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.397895336151123
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.944438934326172
CCCCCCCCc1ccc(OCCO)cc1,2.6390573978424072
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCO,1.9600948095321653
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOCCOCCO,2.2512917518615723
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.5176963806152344
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.7278528213500977
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.8213789463043213
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)C.[Cl-],2.6390573978424072
CCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.681021451950073
CCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCO,2.5649492740631104
O=C(OCC(O)CO)C(CC(O)CO)C(CC(O)CO)C(CC(O)CO)C(CCC/C=C\CCCCCCCCCC(O)CO)CC(O)CO,2.2512917518615723
CC(O)CO,2.238579750061035
CC(O)CO.CCCCCCCCCCCCCCCCCC(=O)O,1.3350011110305786
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)O.[Na],2.3025851249694824
CCCCCCCCCCCCOS(=O)(=O)c1ccccc1.[Na],2.360854148864746
CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)[O-].[Na+],2.116255521774292
CCCCCCCC(=O)OCC(O)C1OCC(O)C1O,2.397895336151123
CC(C)CCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,1.5475624799728394
CCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,2.1972246170043945
CCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,1.9021074771881104
CCCCCCCCC=CCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)C1OCC(O)C1OC(=O)CCCCCCCC=CCCCCCCCC,0.6931471824645996
CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)C1OCC(O)C1OC(=O)CCCCCCCCCCCCCCCCC,0.6931471824645996
CCCCCCCCCCCCCCCCCC(=O)NCCO,2.397895336151123
CCCCCCCCCCCCCCCCCCOCC[O],2.933856725692749
CCCCCCCCCCCCCCCCCCOCCOCCO,1.7917594909667969
CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(CO)OC1(OC(=O)CCCCCCCCCCCCCCCCC)C1(CO)OC(CO)C(O)C1O,1.7917594909667969
CCCCCCCCCCCC(=O)OC1(C2(CO)OC(CO)C(O)C2O)OC(CO)C(O)C(O)C1O,2.70805025100708
CCCCCCCCCCCC(=O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.778198003768921
CCCCCCCCCCCCCCCCCC(=O)O.OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.6741485595703125
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COCC(O)COCC(O)CO,1.7917594909667969
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,2.493205547332764
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.549445152282715
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COCC(O)COCC(O)CO,1.8245493173599243
CCCCCCCCCCCCCCCCCC(=O)OCC(C)OC(=O)CCCCCCCCCCCCCCCCC,0.0
CCCCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O,1.5475624799728394
CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCO,2.041220188140869
CCCCCCCCCCCC(=O)OCCOCCOCCOCCO,2.2407095432281494
CC(C)CCCCCCCCCCCCCCC(=O)OCC(C)O,0.9162907600402832
C1CO1.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,1.3862943649291992
CCCCCCCC/C=C\CCCCCCCC(=O)OCCOCCO,1.5475624799728394
CCCCCCCCCCCC(=O)OCCO,2.549445152282715
CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC,2.3025851249694824
CCCCCCCC/C=C\CCCCCCCCOCCO,2.5176963806152344
CCCCCCCCCCCC(=O)O.OCCOCCO,1.704748034477234
CCCCCCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.3025851249694824
CC(O)CCO,2.1860511302948
CNC.O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl.O=C(O)COc1ccc(Cl)cc1Cl,2.530517101287842
CCCCCCCCCCCC(=O)NCCO,2.602689743041992
Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)OCCO)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,2.5649492740631104
CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COCC(CC)CCCC,0.6931471824645996
CCCCCCCC(=O)OCC(O)CO,1.7917594909667969
CC(O)CC(C)(C)O,2.073171854019165
CCCCCCCCCCCCOCCOCCO,1.8245493173599243
CCCCCCCCCCCCOCCOCCOCCO,2.054123640060425
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.5649492740631104
CCCCC/C=C\C/C=C\CCCCCCCC(=O)N(CCO)CCO,2.3025851249694824
CCCCCCCCCCCC(=O)OC,1.3083328008651731
CCCCCCCC/C=C\CCCCCCCCOCCOCCO,1.5892351865768433
OCCCCCO,2.1306097507476807
CCCCCCC(O)CC=CCCCCCCCC(=O)OCC(O)COCC(O)COCC(O)CO,1.3862943649291992
CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,2.813610792160034
CCCCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,2.701361179351806
CCCCCCCCCCCCCCCCOP(=O)([O-])[O-].[K+].[K+],2.261763095855713
CC(O)CO.CCCCCCCCCCCC(=O)O,1.0986123085021973
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,1.3862943649291992
CCCCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,1.6094379425048828
CCCCCCCCCCCCCCCC(=O)O.OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.7725887298583984
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC,2.0149030685424805
CCCCCCCCCCCCCCCCCC(=O)[O-].[Na+],0.6931471824645996
